(*'-') < python solve.py
username=''
username='k'
username='ky'
username='ky0'
username='ky0m'
username='ky0mu'
username='ky0muk'
username='ky0muky'
username='ky0muky0'
username='ky0muky0m'
username='ky0muky0mu'
username='ky0muky0mup'
username='ky0muky0mupu'
username='ky0muky0mupur'
username='ky0muky0mupur1'
username='ky0muky0mupur1n'
username='ky0muky0mupur1n'
mid=57896044618658097711785492504343953926634992332820282019728792003956564819967, password_hash='7fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=-1, ng=115792089237316195423570985008687907853269984665640564039457584007913129639936, res=False
mid=95630211712616272311177447534137686150800047951429863298308823115678305222655, password_hash='d36cc81ec27fffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712563616165343168940788727136958212735270415750608548560051149733887, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=False
mid=95630211712642600384094586830812165657720965559509587072158960393491882967039, password_hash='d36cc81ec2bfffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712616272311177447534137686150800047951429863298308823115678305222655, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=False
mid=95630211712655764420553156479149405411181424363549448959084029032398671839231, password_hash='d36cc81ec2dfffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712642600384094586830812165657720965559509587072158960393491882967039, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=False
mid=95630211712662346438782441303318025287911653765569379902546563351852066275327, password_hash='d36cc81ec2efffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712655764420553156479149405411181424363549448959084029032398671839231, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=False
mid=95630211712665637447897083715402335226276768466579345374277830511578763493375, password_hash='d36cc81ec2f7ffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712662346438782441303318025287911653765569379902546563351852066275327, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=False
mid=95630211712667282952454404921444490195459325817084328110143464091442112102399, password_hash='d36cc81ec2fbffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712665637447897083715402335226276768466579345374277830511578763493375, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=False
mid=95630211712668105704733065524465567680050604492336819478076280881373786406911, password_hash='d36cc81ec2fdffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712667282952454404921444490195459325817084328110143464091442112102399, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=False
mid=95630211712668517080872395825976106422346243829963065162042689276339623559167, password_hash='d36cc81ec2feffffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668105704733065524465567680050604492336819478076280881373786406911, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=False
mid=95630211712668722768942060976731375793494063498776188004025893473822542135295, password_hash='d36cc81ec2ff7fffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668517080872395825976106422346243829963065162042689276339623559167, ng=95630211712668928457011726127486645164641883167589310846009097671305460711423, res=True
mid=95630211712668619924907228401353741107920153664369626583034291375081082847231, password_hash='d36cc81ec2ff3fffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668517080872395825976106422346243829963065162042689276339623559167, ng=95630211712668722768942060976731375793494063498776188004025893473822542135295, res=True
mid=95630211712668568502889812113664923765133198747166345872538490325710353203199, password_hash='d36cc81ec2ff1fffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668517080872395825976106422346243829963065162042689276339623559167, ng=95630211712668619924907228401353741107920153664369626583034291375081082847231, res=False
mid=95630211712668594213898520257509332436526676205767986227786390850395718025215, password_hash='d36cc81ec2ff2fffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668568502889812113664923765133198747166345872538490325710353203199, ng=95630211712668619924907228401353741107920153664369626583034291375081082847231, res=False
mid=95630211712668607069402874329431536772223414935068806405410341112738400436223, password_hash='d36cc81ec2ff37ffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668594213898520257509332436526676205767986227786390850395718025215, ng=95630211712668619924907228401353741107920153664369626583034291375081082847231, res=True
mid=95630211712668600641650697293470434604375045570418396316598365981567059230719, password_hash='d36cc81ec2ff33ffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668594213898520257509332436526676205767986227786390850395718025215, ng=95630211712668607069402874329431536772223414935068806405410341112738400436223, res=False
mid=95630211712668603855526785811450985688299230252743601361004353547152729833471, password_hash='d36cc81ec2ff35ffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668600641650697293470434604375045570418396316598365981567059230719, ng=95630211712668607069402874329431536772223414935068806405410341112738400436223, res=False
mid=95630211712668605462464830070441261230261322593906203883207347329945565134847, password_hash='d36cc81ec2ff36ffffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668603855526785811450985688299230252743601361004353547152729833471, ng=95630211712668607069402874329431536772223414935068806405410341112738400436223, res=False
mid=95630211712668606265933852199936399001242368764487505144308844221341982785535, password_hash='d36cc81ec2ff377fffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668605462464830070441261230261322593906203883207347329945565134847, ng=95630211712668607069402874329431536772223414935068806405410341112738400436223, res=False
mid=95630211712668606667668363264683967886732891849778155774859592667040191610879, password_hash='d36cc81ec2ff37bfffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606265933852199936399001242368764487505144308844221341982785535, ng=95630211712668607069402874329431536772223414935068806405410341112738400436223, res=True
mid=95630211712668606466801107732310183443987630307132830459584218444191087198207, password_hash='d36cc81ec2ff379fffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606265933852199936399001242368764487505144308844221341982785535, ng=95630211712668606667668363264683967886732891849778155774859592667040191610879, res=False
mid=95630211712668606567234735498497075665360261078455493117221905555615639404543, password_hash='d36cc81ec2ff37afffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606466801107732310183443987630307132830459584218444191087198207, ng=95630211712668606667668363264683967886732891849778155774859592667040191610879, res=False
mid=95630211712668606617451549381590521776046576464116824446040749111327915507711, password_hash='d36cc81ec2ff37b7ffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606567234735498497075665360261078455493117221905555615639404543, ng=95630211712668606667668363264683967886732891849778155774859592667040191610879, res=False
mid=95630211712668606642559956323137244831389734156947490110450170889184053559295, password_hash='d36cc81ec2ff37bbffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606617451549381590521776046576464116824446040749111327915507711, ng=95630211712668606667668363264683967886732891849778155774859592667040191610879, res=True
mid=95630211712668606630005752852363883303718155310532157278245460000255984533503, password_hash='d36cc81ec2ff37b9ffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606617451549381590521776046576464116824446040749111327915507711, ng=95630211712668606642559956323137244831389734156947490110450170889184053559295, res=False
mid=95630211712668606636282854587750564067553944733739823694347815444720019046399, password_hash='d36cc81ec2ff37baffffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606630005752852363883303718155310532157278245460000255984533503, ng=95630211712668606642559956323137244831389734156947490110450170889184053559295, res=False
mid=95630211712668606639421405455443904449471839445343656902398993166952036302847, password_hash='d36cc81ec2ff37bb7fffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606636282854587750564067553944733739823694347815444720019046399, ng=95630211712668606642559956323137244831389734156947490110450170889184053559295, res=False
mid=95630211712668606640990680889290574640430786801145573506424582028068044931071, password_hash='d36cc81ec2ff37bbbfffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606639421405455443904449471839445343656902398993166952036302847, ng=95630211712668606642559956323137244831389734156947490110450170889184053559295, res=False
mid=95630211712668606641775318606213909735910260479046531808437376458626049245183, password_hash='d36cc81ec2ff37bbdfffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606640990680889290574640430786801145573506424582028068044931071, ng=95630211712668606642559956323137244831389734156947490110450170889184053559295, res=True
mid=95630211712668606641382999747752242188170523640096052657430979243347047088127, password_hash='d36cc81ec2ff37bbcfffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606640990680889290574640430786801145573506424582028068044931071, ng=95630211712668606641775318606213909735910260479046531808437376458626049245183, res=True
mid=95630211712668606641186840318521408414300655220620813081927780635707546009599, password_hash='d36cc81ec2ff37bbc7ffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606640990680889290574640430786801145573506424582028068044931071, ng=95630211712668606641382999747752242188170523640096052657430979243347047088127, res=False
mid=95630211712668606641284920033136825301235589430358432869679379939527296548863, password_hash='d36cc81ec2ff37bbcbffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641186840318521408414300655220620813081927780635707546009599, ng=95630211712668606641382999747752242188170523640096052657430979243347047088127, res=False
mid=95630211712668606641333959890444533744703056535227242763555179591437171818495, password_hash='d36cc81ec2ff37bbcdffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641284920033136825301235589430358432869679379939527296548863, ng=95630211712668606641382999747752242188170523640096052657430979243347047088127, res=False
mid=95630211712668606641358479819098387966436790087661647710493079417392109453311, password_hash='d36cc81ec2ff37bbceffffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641333959890444533744703056535227242763555179591437171818495, ng=95630211712668606641382999747752242188170523640096052657430979243347047088127, res=False
mid=95630211712668606641370739783425315077303656863878850183962029330369578270719, password_hash='d36cc81ec2ff37bbcf7fffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641358479819098387966436790087661647710493079417392109453311, ng=95630211712668606641382999747752242188170523640096052657430979243347047088127, res=False
mid=95630211712668606641376869765588778632737090251987451420696504286858312679423, password_hash='d36cc81ec2ff37bbcfbfffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641370739783425315077303656863878850183962029330369578270719, ng=95630211712668606641382999747752242188170523640096052657430979243347047088127, res=True
mid=95630211712668606641373804774507046855020373557933150802329266808613945475071, password_hash='d36cc81ec2ff37bbcf9fffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641370739783425315077303656863878850183962029330369578270719, ng=95630211712668606641376869765588778632737090251987451420696504286858312679423, res=True
mid=95630211712668606641372272278966180966162015210906000493145648069491761872895, password_hash='d36cc81ec2ff37bbcf8fffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641370739783425315077303656863878850183962029330369578270719, ng=95630211712668606641373804774507046855020373557933150802329266808613945475071, res=False
mid=95630211712668606641373038526736613910591194384419575647737457439052853673983, password_hash='d36cc81ec2ff37bbcf97ffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641372272278966180966162015210906000493145648069491761872895, ng=95630211712668606641373804774507046855020373557933150802329266808613945475071, res=False
mid=95630211712668606641373421650621830382805783971176363225033362123833399574527, password_hash='d36cc81ec2ff37bbcf9bffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373038526736613910591194384419575647737457439052853673983, ng=95630211712668606641373804774507046855020373557933150802329266808613945475071, res=True
mid=95630211712668606641373230088679222146698489177797969436385409781443126624255, password_hash='d36cc81ec2ff37bbcf99ffffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373038526736613910591194384419575647737457439052853673983, ng=95630211712668606641373421650621830382805783971176363225033362123833399574527, res=False
mid=95630211712668606641373325869650526264752136574487166330709385952638263099391, password_hash='d36cc81ec2ff37bbcf9affffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373230088679222146698489177797969436385409781443126624255, ng=95630211712668606641373421650621830382805783971176363225033362123833399574527, res=True
mid=95630211712668606641373277979164874205725312876142567883547397867040694861823, password_hash='d36cc81ec2ff37bbcf9a7fffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373230088679222146698489177797969436385409781443126624255, ng=95630211712668606641373325869650526264752136574487166330709385952638263099391, res=True
mid=95630211712668606641373254033922048176211901026970268659966403824241910743039, password_hash='d36cc81ec2ff37bbcf9a3fffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373230088679222146698489177797969436385409781443126624255, ng=95630211712668606641373277979164874205725312876142567883547397867040694861823, res=True
mid=95630211712668606641373242061300635161455195102384119048175906802842518683647, password_hash='d36cc81ec2ff37bbcf9a1fffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373230088679222146698489177797969436385409781443126624255, ng=95630211712668606641373254033922048176211901026970268659966403824241910743039, res=True
mid=95630211712668606641373236074989928654076842140091044242280658292142822653951, password_hash='d36cc81ec2ff37bbcf9a0fffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373230088679222146698489177797969436385409781443126624255, ng=95630211712668606641373242061300635161455195102384119048175906802842518683647, res=False
mid=95630211712668606641373239068145281907766018621237581645228282547492670668799, password_hash='d36cc81ec2ff37bbcf9a17ffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373236074989928654076842140091044242280658292142822653951, ng=95630211712668606641373242061300635161455195102384119048175906802842518683647, res=False
mid=95630211712668606641373240564722958534610606861810850346702094675167594676223, password_hash='d36cc81ec2ff37bbcf9a1bffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373239068145281907766018621237581645228282547492670668799, ng=95630211712668606641373242061300635161455195102384119048175906802842518683647, res=False
mid=95630211712668606641373241313011796848032900982097484697439000739005056679935, password_hash='d36cc81ec2ff37bbcf9a1dffffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373240564722958534610606861810850346702094675167594676223, ng=95630211712668606641373242061300635161455195102384119048175906802842518683647, res=False
mid=95630211712668606641373241687156216004744048042240801872807453770923787681791, password_hash='d36cc81ec2ff37bbcf9a1effffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241313011796848032900982097484697439000739005056679935, ng=95630211712668606641373242061300635161455195102384119048175906802842518683647, res=False
mid=95630211712668606641373241874228425583099621572312460460491680286883153182719, password_hash='d36cc81ec2ff37bbcf9a1f7fffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241687156216004744048042240801872807453770923787681791, ng=95630211712668606641373242061300635161455195102384119048175906802842518683647, res=True
mid=95630211712668606641373241780692320793921834807276631166649567028903470432255, password_hash='d36cc81ec2ff37bbcf9a1f3fffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241687156216004744048042240801872807453770923787681791, ng=95630211712668606641373241874228425583099621572312460460491680286883153182719, res=False
mid=95630211712668606641373241827460373188510728189794545813570623657893311807487, password_hash='d36cc81ec2ff37bbcf9a1f5fffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241780692320793921834807276631166649567028903470432255, ng=95630211712668606641373241874228425583099621572312460460491680286883153182719, res=True
mid=95630211712668606641373241804076346991216281498535588490110095343398391119871, password_hash='d36cc81ec2ff37bbcf9a1f4fffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241780692320793921834807276631166649567028903470432255, ng=95630211712668606641373241827460373188510728189794545813570623657893311807487, res=False
mid=95630211712668606641373241815768360089863504844165067151840359500645851463679, password_hash='d36cc81ec2ff37bbcf9a1f57ffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241804076346991216281498535588490110095343398391119871, ng=95630211712668606641373241827460373188510728189794545813570623657893311807487, res=True
mid=95630211712668606641373241809922353540539893171350327820975227422022121291775, password_hash='d36cc81ec2ff37bbcf9a1f53ffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241804076346991216281498535588490110095343398391119871, ng=95630211712668606641373241815768360089863504844165067151840359500645851463679, res=True
mid=95630211712668606641373241806999350265878087334942958155542661382710256205823, password_hash='d36cc81ec2ff37bbcf9a1f51ffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241804076346991216281498535588490110095343398391119871, ng=95630211712668606641373241809922353540539893171350327820975227422022121291775, res=False
mid=95630211712668606641373241808460851903208990253146642988258944402366188748799, password_hash='d36cc81ec2ff37bbcf9a1f52ffffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241806999350265878087334942958155542661382710256205823, ng=95630211712668606641373241809922353540539893171350327820975227422022121291775, res=False
mid=95630211712668606641373241809191602721874441712248485404617085912194155020287, password_hash='d36cc81ec2ff37bbcf9a1f537fffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241808460851903208990253146642988258944402366188748799, ng=95630211712668606641373241809922353540539893171350327820975227422022121291775, res=True
mid=95630211712668606641373241808826227312541715982697564196438015157280171884543, password_hash='d36cc81ec2ff37bbcf9a1f533fffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241808460851903208990253146642988258944402366188748799, ng=95630211712668606641373241809191602721874441712248485404617085912194155020287, res=False
mid=95630211712668606641373241809008915017208078847473024800527550534737163452415, password_hash='d36cc81ec2ff37bbcf9a1f535fffffffffffffffffffffffffffffffffffffff', ok=95630211712668606641373241808826227312541715982697564196438015157280171884543, ng=95630211712668606641373241809191602721874441712248485404617085912194155020287, res=False
